year,sp.code,catch.mt
1955,DBRK,234.59
1956,DBRK,293.07
1957,DBRK,331.5
1958,DBRK,302.27
1959,DBRK,276.27
1960,DBRK,311.47
1961,DBRK,271.75
1962,DBRK,330.44
1963,DBRK,354.76
1964,DBRK,245.05
1965,DBRK,448.47
1966,DBRK,4193.84
1967,DBRK,3087.01
1968,DBRK,2437.81
1969,DBRK,258.86
1970,DBRK,267.96
1971,DBRK,445.88
1972,DBRK,601.51
1973,DBRK,845.07
1974,DBRK,740.97
1975,DBRK,573.19
1976,DBRK,580.34
1977,DBRK,265.94
1978,DBRK,414.47
1979,DBRK,1002.22
1980,DBRK,562.7
1981,DBRK,966.86
1982,DBRK,1130
1983,DBRK,953.09
1984,DBRK,1292.01
1985,DBRK,1810.16
1986,DBRK,1278.81
1987,DBRK,2441.21
1988,DBRK,1668.97
1989,DBRK,1287.11
1990,DBRK,1669.52
1991,DBRK,1224.11
1992,DBRK,696.96
1993,DBRK,1208.43
1994,DBRK,873.75
1995,DBRK,791.01
1996,DBRK,738.56
1997,DBRK,837.25
1998,DBRK,964.4
1999,DBRK,371.74
2000,DBRK,413.54
2001,DBRK,274.45
2002,DBRK,178.92
2003,DBRK,127.34
2004,DBRK,252
2005,DBRK,129.15
2006,DBRK,200.37
2007,DBRK,264.35
2008,DBRK,213.41
1956,POP,2231
1957,POP,2442
1958,POP,1587
1959,POP,1958
1960,POP,2364
1961,POP,4149
1962,POP,5793
1963,POP,6788
1964,POP,5807
1965,POP,8063
1966,POP,18761
1967,POP,13289
1968,POP,7262
1969,POP,1197
1970,POP,2177
1971,POP,1951
1972,POP,1558
1973,POP,2145
1974,POP,1800
1975,POP,1152
1976,POP,1677
1977,POP,1242
1978,POP,2120
1979,POP,1952
1980,POP,1965
1981,POP,1720
1982,POP,1242
1983,POP,2215
1984,POP,1959
1985,POP,1792
1986,POP,1653
1987,POP,1305
1988,POP,1645
1989,POP,1706
1990,POP,1230
1991,POP,1659
1992,POP,1306
1993,POP,1500
1994,POP,1176
1995,POP,965
1996,POP,938
1997,POP,751
1998,POP,739
1999,POP,593
2000,POP,171
2001,POP,307
2002,POP,177.8
2003,POP,145.2
2004,POP,149.8
2005,POP,80.6
2006,POP,82.1
2007,POP,155.7
2008,POP,106
