Common.Name,Delta.Year,OFL.Year,OFL.Mean,2.5%,25%,50%,75%,97.5%
Canary Rockfish,2009,2009,1372.01071942556,593.251430028235,1020.81547776574,1318.77759609395,1655.79163933446,2479.50498891474
Cowcod,2009,2009,67.0110920585856,27.8748422768991,50.3070678980281,63.2252807493651,80.4149670839551,127.019583324207
Darkblotched Rockfish,2009,2009,594.744871701777,235.462434774453,446.16321644241,561.175014955105,711.002470090664,1145.37410029403
Pacific Ocean Perch,2009,2009,1393.8744717531,582.308935363547,995.998019821113,1313.53547068173,1695.13556842432,2622.60167737113
